id,proper,ra,dec,mag,spect,con
97124,,19.80285,70.26793,3.84,G8III,Dra
51837,,10.621717,-48.22562,3.84,A3m+...,Vel
20833,,4.476248,15.962181,3.84,G7III,Tau
17406,Atik,3.738648,32.288248,3.84,B1III,Per
17398,,3.736593,-64.806903,3.84,K0IV SB,Ret
61008,,12.541134,-72.132988,3.84,B5V,Mus
88517,,18.125708,28.762488,3.84,B9.5V,Her
27253,,5.788079,-51.066514,3.85,A3V,Pic
77836,,15.940882,15.661617,3.85,F6V,Ser
90835,,18.586785,-8.244073,3.85,K2III,Sct
50050,,10.245607,-42.121942,3.85,A2V,Vel
89860,,18.394967,21.769752,3.85,K2III,Her
61429,,12.628394,-48.541304,3.85,A2V,Cen
19697,,4.233363,-42.294368,3.85,K1III,Hor
30204,,6.368564,-33.4364,3.85,G7II,Col
61088,,12.558058,69.788238,3.85,B6IIIp,Dra
4426,,0.945885,38.499345,3.86,A5V,And
87537,,17.93755,37.250539,3.86,K1IIvar,Her
110049,Sadachbia,22.360938,-1.387331,3.86,A0V,Aqr
79423,,16.257297,-63.685682,3.86,G5II,TrA
21541,Sceptrum,4.63634,-14.30402,3.86,K1III,Eri
80819,,16.557609,-78.897148,3.86,K0IV SB,Aps
25794,,5.520209,-35.470519,3.86,K1II/III,Col
77868,Iklil,15.948077,-29.214073,3.87,B2IV/V,Sco
71731,,14.717673,-5.658207,3.87,F2III,Vir
42904,,8.767124,-46.041527,3.87,A1III,Vel
17532,Maia,3.763779,24.367748,3.87,B8III,Tau
68064,,13.977987,-44.803584,3.87,B2IV-V,Cen
97493,,19.874547,1.005661,3.87,F6Ibv SB,Aql
114059,,23.17264,-45.246711,3.88,K0III SB,Gru
8813,Mesarthim,1.89217,19.293852,3.88,A1p Si,Ari
763,,0.156836,-45.747426,3.88,K0III,Phe
48318,Rasalas,9.879398,26.006951,3.88,K0III,Leo
74148,,15.198918,-48.737819,3.88,B9V,Lup
97799,,19.938438,35.083424,3.89,K0IIIvar,Cyg
13667,Azha,2.940458,-8.898144,3.89,K1III-IV,Eri
59945,Zaniah,12.331766,-0.666803,3.89,A2IV,Vir
33065,,6.902209,-24.184211,3.89,K3Iab,CMa
45204,,9.239405,2.31428,3.89,B9.5V,Hya
55260,,11.350117,-54.491019,3.9,B5Vn,Cen
47297,Ukdah,9.664267,-1.14281,3.9,K3IIIvar,Hya
65729,,13.517405,-39.407307,3.9,G8II/III,Cen
76100,Zubenelhakrabi,15.592105,-14.789537,3.91,K0III,Lib
18860,,4.052606,5.989305,3.91,A1V,Tau
60635,,12.467331,-50.230635,3.91,B3V,Cen
79750,,16.329011,46.313366,3.91,B5IV,Her
73579,,15.085303,-47.051245,3.91,B5,Lup
41190,,8.427676,-3.906424,3.91,A0V,Hya
94873,,19.361211,-17.847197,3.92,F0III/IV,Sgr
82952,,17.004827,30.926405,3.92,A0V,Her
104649,Kitalpha,21.263731,5.247845,3.92,G0III+...,Equ
87920,,18.010754,2.931568,3.93,B5Ib,Oph
2069,,0.436716,-43.679829,3.93,A7V,Phe
54304,,11.143165,-58.975037,3.93,G0Ia0,Car
13497,,2.904295,52.762479,3.93,G4III...,Per
78693,,16.113452,-20.669192,3.93,B1V,Sco
21391,,4.605317,-3.352459,3.93,B2III SB,Eri
37397,,7.697004,-72.606098,3.93,K0III,Vol
7068,,1.520851,-49.072702,3.93,K0III-IV,Phe
5337,Wurren,1.139742,-55.24576,3.94,B6V + B0V,Phe
42792,Asellus Australis,8.74475,18.154309,3.94,K0III,Cnc
103081,,20.952893,41.167136,3.94,A1Vn,Cyg
37570,,7.73013,-28.954826,3.94,A2Iab,Pup
37340,,7.687454,-9.551131,3.94,K0III,Mon
9577,,2.057268,72.421294,3.95,A2V,Cas
31512,,6.611399,-19.255879,3.95,K1III+...,CMa
118887,,13.398996,54.920471,3.95,A1 m,UMa
99529,,20.257867,47.714208,3.96,K3Ib-II comp,Cyg
44120,,9.010685,41.782911,3.96,F5V,Lyn
94946,Arkab Prior,19.377303,-44.458965,3.96,B9V,Sgr
115073,,23.382842,-20.10058,3.96,K0III,Aqr
44972,,9.187985,-62.316977,3.96,B3IV,Car
95052,Rukbat,19.398103,-40.61594,3.96,B8V,Sgr
